user_id,item_list
28618,8202 4720 3807 7581 520 15099 3806 7887 5044 4384
14927,5650 8456 8150 12427 6298 5296 4687 12430 17019 17265
6487,14997 7348 15771 11716 15947 10950 3948 10025 7594 13153
26302,4111 6203 5700 6229 8423 4408 194 66 6888 6799
6577,9714 724 8725 13838 8012 8666 7655 11734 4059 7651
22079,5115 6342 6024 11548 10078 5637 11220 7457 4359 8188
7222,5192 12355 17620 5434 12040 1892 4846 9208 16339 3901
15130,8908 1899 9002 3568 18276 6292 18275 4937 15893 5695
342,7097 9568 1649 7765 4719 17752 5479 4844 13239 13319
3705,5553 17965 18098 193 10783 6228 3611 2005 5416 7352
24152,3831 4657 5537 4658 9145 7259 197 4130 9143 4634
2020,6901 7662 10933 11218 14779 10937 8982 6046 4207 8171
13119,9109 6662 4179 8232 4360 6596 6654 8166 1898 6289
20984,10154 6170 8841 4727 2538 4656 18091 2043 8984 6249
26373,9714 11218 4153 11223 17951 6391 10077 5697 7457 4302
13489,15405 7091 5976 5261 7109 4013 4627 6843 8481 4068
29514,5075 10078 16349 9461 4755 4704 10299 17267 4702 7664
16685,8530 3604 6806 12804 6446 4037 3516 3514 4097 12472
17648,17449 127 15752 8473 17680 8377 5829 3621 8179 4094
5305,7290 864 2977 5328 2840 6903 6012 15596 8382 3886
22496,11701 16768 1180 3611 3536 5296 15810 1872 18299 7663
25034,15677 7527 18154 6881 4093 5567 17928 5653 6751 6426
14833,5681 8600 8186 5374 4472 4340 6888 14647 17299 3903
24834,5120 3815 12430 5169 13174 411 4706 15717 3786 4717
29582,4065 5413 9730 4983 4984 16273 17363 11222 3848 12754
14522,8034 16596 5888 4627 5707 4723 8825 739 4190 5281
16279,7258 16656 4361 5006 4207 7511 11953 8636 10103 5700
22147,5114 9334 3806 3807 15150 9702 10232 4397 4634 12186
12258,6291 8899 10138 14861 15099 5149 1760 8266 17874 9703
24262,17347 9277 5728 17353 6812 6524 5840 9115 17752 17750
11624,6080 13918 11477 14261 13606 16381 7172 4900 15819 4220
15834,9033 6780 8309 6050 9008 10854 7594 4035 8789 4691
11177,6794 4570 7239 12648 15854 18013 8347 7493 3196 7495
5854,7624 4976 7888 5927 5275 10609 736 5120 7889 4418
8678,10606 9224 4187 3636 13953 5619 3278 11491 6165 1193
19751,8458 15677 15891 5113 9302 234 10139 5367 6915 10174
686,3565 1212 12813 5100 4024 11218 7583 8984 14894 11857
3277,9143 4747 3540 17980 18325 14282 5560 5524 9303 4768
17368,15031 10585 5499 15811 699 5746 5281 13174 9014 10230
7574,7659 7664 3664 5522 12613 7581 14167 7662 17342 5839
385,7640 5294 10163 7189 4251 3081 6865 6546 4340 16649
28080,10169 16842 18316 4439 10078 10111 8983 3628 1164 10168
11316,4388 4600 8552 10966 4815 4377 5657 4360 2599 3521
10966,10163 3387 5183 8505 14754 552 12194 14554 7640 17311
9080,8854 15309 5223 9958 13504 67 1891 10210 12899 9954
26272,14214 5560 6323 4179 1339 6343 13918 15119 12747 12051
17052,591 10234 3518 7518 17717 8636 17661 5680 17598 17763
10651,8514 6875 14980 5253 3657 11268 5252 3866 7427 3196
699,11734 5602 4381 7366 4254 8031 5887 13280 8422 8047
1414,12981 8347 7941 5113 4657 1915 6504 15385 7301 10067
15128,4723 4510 4722 4781 6757 4721 3943 16178 15396 808
1513,16586 8978 6234 4361 16224 3998 8171 552 7549 20
16111,5896 7364 17835 7824 10808 10528 10227 13388 4844 15119
14236,5168 4010 9129 4446 3869 1970 14617 5458 9124 9448
26318,7467 6812 18260 11991 4844 6404 8681 8483 11337 18350
15297,3815 5135 5061 5663 8982 7662 18185 6526 5206 11082
2407,12698 5567 6205 13862 4967 3541 10466 4365 5165 8384
