row,col,data
0,3568,1.0
0,3827,1.0
0,4844,1.0
0,5734,1.0
0,6518,1.0
0,16373,1.0
0,18343,1.0
1,3537,1.0
1,8473,1.0
1,8475,1.0
1,15971,1.0
1,16145,1.0
1,17587,1.0
2,736,1.0
2,1425,1.0
2,3653,1.0
2,4634,1.0
2,4653,1.0
2,5731,1.0
2,14979,1.0
2,14981,1.0
2,15238,1.0
2,16491,1.0
3,3730,1.0
4,543,1.0
4,663,1.0
4,664,1.0
4,666,1.0
4,1172,1.0
4,4657,1.0
4,4658,1.0
4,9695,1.0
6,10945,1.0
6,14909,1.0
6,14911,1.0
6,16373,1.0
6,17144,1.0
7,4627,1.0
7,6808,1.0
7,7172,1.0
7,7870,1.0
8,4528,1.0
8,5191,1.0
8,17930,1.0
9,4059,1.0
9,4081,1.0
9,4431,1.0
9,4609,1.0
9,5296,1.0
9,6763,1.0
9,6897,1.0
9,8202,1.0
9,9302,1.0
9,9335,1.0
9,10829,1.0
9,12715,1.0
9,15806,1.0
9,17601,1.0
10,3902,1.0
10,11280,1.0
12,647,1.0
12,3531,1.0
12,3976,1.0
12,4223,1.0
12,4289,1.0
12,4706,1.0
12,4723,1.0
12,4724,1.0
12,5260,1.0
12,6985,1.0
12,8186,1.0
12,8694,1.0
12,9475,1.0
12,11048,1.0
12,16170,1.0
12,16298,1.0
12,17294,1.0
12,17781,1.0
13,4783,1.0
15,3834,1.0
15,5527,1.0
15,12181,1.0
15,13233,1.0
15,17600,1.0
15,18300,1.0
17,3252,1.0
17,5297,1.0
17,6648,1.0
17,7329,1.0
17,8770,1.0
17,11892,1.0
17,16728,1.0
17,17585,1.0
18,1690,1.0
18,2598,1.0
18,3144,1.0
18,3626,1.0
18,3866,1.0
18,4030,1.0
18,4155,1.0
18,4906,1.0
18,5289,1.0
18,5394,1.0
18,5787,1.0
18,6393,1.0
18,6545,1.0
18,6866,1.0
18,7329,1.0
18,7353,1.0
18,7663,1.0
18,8261,1.0
18,8349,1.0
18,8458,1.0
18,9642,1.0
18,11003,1.0
18,11142,1.0
18,11265,1.0
18,11866,1.0
18,12194,1.0
18,12201,1.0
18,14241,1.0
18,14532,1.0
18,14743,1.0
18,14809,1.0
18,14847,1.0
18,14851,1.0
18,15525,1.0
18,17732,1.0
19,6291,1.0
19,7199,1.0
21,3582,1.0
21,3593,1.0
21,5581,1.0
21,5957,1.0
21,6207,1.0
21,7366,1.0
21,9115,1.0
21,12469,1.0
25,3104,1.0
25,4083,1.0
25,4200,1.0
25,4202,1.0
25,4217,1.0
25,5128,1.0
25,5611,1.0
25,6759,1.0
25,7174,1.0
25,8481,1.0
25,8702,1.0
25,9785,1.0
25,10141,1.0
25,10163,1.0
25,12704,1.0
25,13983,1.0
25,17829,1.0
28,2709,1.0
30,3730,1.0
30,4007,1.0
30,4279,1.0
30,6504,1.0
30,6510,1.0
30,8470,1.0
30,15707,1.0
30,17750,1.0
30,17752,1.0
31,121,1.0
31,345,1.0
31,3114,1.0
31,3518,1.0
31,3886,1.0
31,3888,1.0
31,3971,1.0
31,4220,1.0
31,4264,1.0
31,4352,1.0
31,4357,1.0
31,4627,1.0
31,4657,1.0
31,4728,1.0
31,5112,1.0
31,5261,1.0
31,5279,1.0
31,5296,1.0
31,5301,1.0
31,5708,1.0
31,5878,1.0
31,5881,1.0
31,6038,1.0
31,6289,1.0
31,6293,1.0
31,6496,1.0
31,6793,1.0
31,6798,1.0
31,6799,1.0
31,7195,1.0
31,7517,1.0
31,8534,1.0
31,8535,1.0
31,8711,1.0
31,10284,1.0
31,11220,1.0
31,12983,1.0
31,15224,1.0
31,15232,1.0
31,17547,1.0
33,9448,1.0
33,12469,1.0
33,13202,1.0
34,4365,1.0
34,5113,1.0
34,6172,1.0
34,7462,1.0
34,10732,1.0
34,13918,1.0
34,14165,1.0
34,14847,1.0
34,18290,1.0
36,4190,1.0
36,4192,1.0
36,5090,1.0
36,8849,1.0
36,10153,1.0
36,17397,1.0
37,725,1.0
37,5542,1.0
37,9448,1.0
37,12030,1.0
38,11402,1.0
39,1293,1.0
39,3654,1.0
39,4755,1.0
39,5299,1.0
39,8062,1.0
39,10055,1.0
39,10199,1.0
39,13172,1.0
39,13506,1.0
39,18137,1.0
39,18300,1.0
40,4556,1.0
40,14045,1.0
43,5293,1.0
43,5637,1.0
43,8638,1.0
43,14754,1.0
44,6530,1.0
45,724,1.0
45,10521,1.0
47,2575,1.0
47,3822,1.0
47,5294,1.0
47,7141,1.0
47,10653,1.0
49,725,1.0
50,3620,1.0
50,4634,1.0
50,4657,1.0
50,4658,1.0
50,9039,1.0
50,9475,1.0
50,10067,1.0
50,10068,1.0
50,10081,1.0
51,725,1.0
52,4127,1.0
52,4627,1.0
52,5100,1.0
52,6015,1.0
52,6357,1.0
52,6785,1.0
52,8159,1.0
52,8380,1.0
52,8857,1.0
52,10320,1.0
52,11651,1.0
52,11652,1.0
53,3540,1.0
53,6292,1.0
53,6530,1.0
53,7174,1.0
53,8023,1.0
53,8075,1.0
53,9002,1.0
53,9048,1.0
53,9126,1.0
53,9712,1.0
53,10078,1.0
53,10347,1.0
53,11223,1.0
53,11240,1.0
53,12808,1.0
53,14727,1.0
53,15101,1.0
53,15102,1.0
53,15119,1.0
53,15120,1.0
54,3608,1.0
54,3627,1.0
54,7651,1.0
55,72,1.0
55,189,1.0
55,227,1.0
55,2693,1.0
55,3546,1.0
55,4129,1.0
55,4217,1.0
55,4279,1.0
55,4463,1.0
55,5275,1.0
55,6174,1.0
55,7304,1.0
55,7465,1.0
55,10076,1.0
55,11084,1.0
55,11417,1.0
55,18260,1.0
55,18343,1.0
56,4349,1.0
56,4357,1.0
56,4708,1.0
56,4968,1.0
56,5700,1.0
56,6050,1.0
56,6119,1.0
56,7354,1.0
56,8618,1.0
56,8982,1.0
56,10044,1.0
56,16584,1.0
57,1584,1.0
57,1586,1.0
57,1971,1.0
57,3542,1.0
57,3555,1.0
57,3629,1.0
57,3655,1.0
57,3956,1.0
57,4057,1.0
57,4359,1.0
57,4404,1.0
57,4708,1.0
57,4968,1.0
57,5508,1.0
57,5560,1.0
57,5651,1.0
57,6289,1.0
57,6808,1.0
57,6906,1.0
57,7199,1.0
57,7663,1.0
57,8618,1.0
57,11774,1.0
57,12413,1.0
57,16096,1.0
57,17748,1.0
58,4483,1.0
59,4127,1.0
59,4413,1.0
59,5147,1.0
59,5714,1.0
59,7581,1.0
59,8483,1.0
59,10653,1.0
59,11300,1.0
59,12743,1.0
59,15907,1.0
59,18291,1.0
60,7659,1.0
62,1872,1.0
65,3546,1.0
65,3569,1.0
65,3654,1.0
65,3842,1.0
65,4791,1.0
65,5044,1.0
65,5189,1.0
65,5365,1.0
65,5554,1.0
65,5568,1.0
65,5829,1.0
65,5830,1.0
65,6280,1.0
65,6359,1.0
65,6404,1.0
65,6420,1.0
65,6466,1.0
65,7427,1.0
65,7497,1.0
65,7672,1.0
65,7706,1.0
65,7710,1.0
65,8009,1.0
65,8413,1.0
65,8423,1.0
65,8638,1.0
65,9199,1.0
65,9201,1.0
65,9203,1.0
65,9204,1.0
65,9206,1.0
65,9712,1.0
65,10296,1.0
65,12194,1.0
65,13202,1.0
65,15099,1.0
65,15101,1.0
65,15222,1.0
65,15502,1.0
65,15503,1.0
66,7824,1.0
69,1232,1.0
69,1485,1.0
69,1535,1.0
69,2148,1.0
69,3842,1.0
69,4182,1.0
69,8041,1.0
69,9414,1.0
69,10453,1.0
69,12150,1.0
69,12151,1.0
69,14328,1.0
70,8465,1.0
70,13483,1.0
71,1885,1.0
71,3999,1.0
71,4410,1.0
71,5034,1.0
71,5631,1.0
71,10843,1.0
71,11211,1.0
71,15244,1.0
74,545,1.0
74,11402,1.0
74,12194,1.0
74,13845,1.0
74,14465,1.0
75,3610,1.0
75,3845,1.0
75,7772,1.0
77,3897,1.0
77,5455,1.0
77,7584,1.0
77,17798,1.0
77,18095,1.0
78,160,1.0
78,345,1.0
78,724,1.0
78,909,1.0
78,1303,1.0
78,1492,1.0
78,1542,1.0
78,1543,1.0
78,1649,1.0
78,1850,1.0
78,2453,1.0
78,2590,1.0
78,3295,1.0
78,3529,1.0
78,3531,1.0
78,3582,1.0
78,3591,1.0
78,3593,1.0
78,3601,1.0
78,4037,1.0
78,4070,1.0
78,4246,1.0
78,4662,1.0
78,4847,1.0
78,4968,1.0
78,5051,1.0
78,5288,1.0
